2026/03/21 09:25:15 Загружено 2 подписчиков
2026/03/21 09:25:16 Запуск анализа рынка (1h Stoch RSI)...
2026/03/21 09:26:01 AWEUSDT Stoch RSI(1h,7)=51.15
2026/03/21 09:26:01 AXLUSDT Stoch RSI(1h,7)=55.95
2026/03/21 09:26:02 AXSUSDT Stoch RSI(1h,7)=35.17
2026/03/21 09:26:02 AZTECUSDT Stoch RSI(1h,7)=91.47
2026/03/21 09:26:03 B2USDT Stoch RSI(1h,7)=56.41
2026/03/21 09:26:04 B3USDT Stoch RSI(1h,7)=73.90
2026/03/21 09:26:04 BABYUSDT Stoch RSI(1h,7)=68.48
2026/03/21 09:26:05 BANANAS31USDT Stoch RSI(1h,7)=7.39
2026/03/21 09:26:06 BANANAUSDT Stoch RSI(1h,7)=66.08
2026/03/21 09:26:06 BANDUSDT Stoch RSI(1h,7)=73.31
2026/03/21 09:26:06 BANKUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:26:07 BANUSDT Stoch RSI(1h,7)=74.85
2026/03/21 09:26:08 BARDUSDT Stoch RSI(1h,7)=75.45
2026/03/21 09:26:08 BATUSDT Stoch RSI(1h,7)=70.64
2026/03/21 09:26:09 BBUSDT Stoch RSI(1h,7)=85.70
2026/03/21 09:26:09 BCHPERP Stoch RSI(1h,7)=100.00
2026/03/21 09:26:10 BCHUSDT Stoch RSI(1h,7)=82.41
2026/03/21 09:26:11 BEAMUSDT Stoch RSI(1h,7)=79.13
2026/03/21 09:26:11 BEATUSDT Stoch RSI(1h,7)=98.46
2026/03/21 09:26:12 BELUSDT Stoch RSI(1h,7)=57.69
2026/03/21 09:26:12 BERAUSDT Stoch RSI(1h,7)=87.75
2026/03/21 09:26:13 BICOUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:26:14 BIGTIMEUSDT Stoch RSI(1h,7)=49.02
2026/03/21 09:26:16 BIOUSDT Stoch RSI(1h,7)=29.81
2026/03/21 09:26:16 BIRBUSDT Stoch RSI(1h,7)=59.60
2026/03/21 09:26:17 BLASTUSDT Stoch RSI(1h,7)=68.97
2026/03/21 09:26:17 BLESSUSDT Stoch RSI(1h,7)=80.78
2026/03/21 09:26:18 BLUAIUSDT Stoch RSI(1h,7)=47.48
2026/03/21 09:26:18 BLURUSDT Stoch RSI(1h,7)=57.82
2026/03/21 09:26:19 BMTUSDT Stoch RSI(1h,7)=83.69
2026/03/21 09:26:19 BNBPERP Stoch RSI(1h,7)=68.47
2026/03/21 09:26:20 BNBUSDT Stoch RSI(1h,7)=70.23
2026/03/21 09:26:21 BNTUSDT Stoch RSI(1h,7)=41.09
2026/03/21 09:26:22 BOBAUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:26:24 BOBBOBUSDT Stoch RSI(1h,7)=36.81
2026/03/21 09:26:24 BOMEUSDT Stoch RSI(1h,7)=41.56
2026/03/21 09:26:25 BRETTUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:26:25 BREVUSDT Stoch RSI(1h,7)=60.16
2026/03/21 09:26:26 BROCCOLIUSDT Stoch RSI(1h,7)=63.70
2026/03/21 09:26:26 BRUSDT Stoch RSI(1h,7)=50.30
2026/03/21 09:26:27 BSUUSDT Stoch RSI(1h,7)=38.62
2026/03/21 09:26:28 BSVUSDT Stoch RSI(1h,7)=94.05
2026/03/21 09:26:28 BTCPERP Stoch RSI(1h,7)=70.08
2026/03/21 09:26:29 BTCUSDT Stoch RSI(1h,7)=71.01
2026/03/21 09:26:30 BTCUSDT-03APR26 Stoch RSI(1h,7)=79.76
2026/03/21 09:26:30 BTCUSDT-10APR26 Stoch RSI(1h,7)=100.00
2026/03/21 09:26:31 Анализ завершён. Следующий запуск через 1 минуту...
2026/03/21 09:27:31 Запуск анализа рынка (1h Stoch RSI)...
2026/03/21 09:27:33 0GUSDT Stoch RSI(1h,7)=78.84
2026/03/21 09:27:33 1000000BABYDOGEUSDT Stoch RSI(1h,7)=71.69
2026/03/21 09:27:34 1000000CHEEMSUSDT Stoch RSI(1h,7)=57.06
2026/03/21 09:27:34 1000000MOGUSDT Stoch RSI(1h,7)=73.14
2026/03/21 09:27:34 10000QUBICUSDT Stoch RSI(1h,7)=58.68
2026/03/21 09:27:35 10000SATSUSDT Stoch RSI(1h,7)=84.85
2026/03/21 09:27:35 1000BONKPERP Stoch RSI(1h,7)=58.86
2026/03/21 09:27:36 1000BONKUSDT Stoch RSI(1h,7)=45.62
2026/03/21 09:27:36 1000BTTUSDT Stoch RSI(1h,7)=39.80
2026/03/21 09:27:37 1000CATUSDT Stoch RSI(1h,7)=80.25
2026/03/21 09:27:37 1000FLOKIUSDT Stoch RSI(1h,7)=35.88
2026/03/21 09:27:38 1000LUNCUSDT Stoch RSI(1h,7)=48.15
2026/03/21 09:27:38 1000NEIROCTOPERP Stoch RSI(1h,7)=52.78
2026/03/21 09:27:39 1000NEIROCTOUSDT Stoch RSI(1h,7)=25.27
2026/03/21 09:27:39 1000PEPEPERP Stoch RSI(1h,7)=100.00
2026/03/21 09:27:39 1000PEPEUSDT Stoch RSI(1h,7)=54.92
2026/03/21 09:27:40 1000RATSUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:27:40 1000TAGUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:27:41 1000TOSHIUSDT Stoch RSI(1h,7)=85.62
2026/03/21 09:27:41 1000TURBOUSDT Stoch RSI(1h,7)=79.99
2026/03/21 09:27:42 1000XECUSDT Stoch RSI(1h,7)=76.41
2026/03/21 09:27:42 1INCHUSDT Stoch RSI(1h,7)=67.39
2026/03/21 09:27:43 2ZUSDT Stoch RSI(1h,7)=86.49
2026/03/21 09:27:43 4USDT Stoch RSI(1h,7)=26.22
2026/03/21 09:27:44 AAVEPERP Stoch RSI(1h,7)=81.29
2026/03/21 09:27:44 AAVEUSDT Stoch RSI(1h,7)=58.23
2026/03/21 09:27:45 ACEUSDT Stoch RSI(1h,7)=11.00
2026/03/21 09:27:45 ACHUSDT Stoch RSI(1h,7)=67.92
2026/03/21 09:27:45 ACTUSDT Stoch RSI(1h,7)=63.98
2026/03/21 09:27:46 ACUUSDT Stoch RSI(1h,7)=45.93
2026/03/21 09:27:46 ACXUSDT Stoch RSI(1h,7)=6.60
2026/03/21 09:27:47 ADAUSDT Stoch RSI(1h,7)=68.08
2026/03/21 09:27:47 AERGOUSDT Stoch RSI(1h,7)=82.69
2026/03/21 09:27:48 AEROUSDT Stoch RSI(1h,7)=76.21
2026/03/21 09:27:48 AEVOPERP Stoch RSI(1h,7)=95.09
2026/03/21 09:27:49 AEVOUSDT Stoch RSI(1h,7)=92.37
2026/03/21 09:27:49 AGIUSDT Stoch RSI(1h,7)=51.13
2026/03/21 09:27:49 AGLDUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:27:50 AIOUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:27:50 AIOZUSDT Stoch RSI(1h,7)=84.19
2026/03/21 09:27:51 AIXBTUSDT Stoch RSI(1h,7)=9.02
2026/03/21 09:27:51 AKEUSDT Stoch RSI(1h,7)=8.45
2026/03/21 09:27:52 AKTUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:27:52 ALCHUSDT Stoch RSI(1h,7)=10.66
2026/03/21 09:27:53 ALGOUSDT Stoch RSI(1h,7)=53.91
2026/03/21 09:27:53 ALICEUSDT Stoch RSI(1h,7)=20.79
2026/03/21 09:27:54 ALLOUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:27:54 ALPINEUSDT Stoch RSI(1h,7)=81.68
2026/03/21 09:27:55 ALTUSDT Stoch RSI(1h,7)=83.56
2026/03/21 09:27:55 ANIMEUSDT Stoch RSI(1h,7)=80.25
2026/03/21 09:27:55 ANKRUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:27:56 APEUSDT Stoch RSI(1h,7)=64.42
2026/03/21 09:27:56 APEXUSDT Stoch RSI(1h,7)=81.12
2026/03/21 09:27:57 API3USDT Stoch RSI(1h,7)=94.47
2026/03/21 09:27:57 APRUSDT Stoch RSI(1h,7)=19.76
2026/03/21 09:27:58 APTUSDT Stoch RSI(1h,7)=11.37
2026/03/21 09:27:58 ARBPERP Stoch RSI(1h,7)=75.42
2026/03/21 09:27:58 ARBUSDT Stoch RSI(1h,7)=56.35
2026/03/21 09:27:59 ARCUSDT Stoch RSI(1h,7)=0.97
2026/03/21 09:27:59 ARIAUSDT Stoch RSI(1h,7)=11.10
2026/03/21 09:28:00 ARKMUSDT Stoch RSI(1h,7)=30.27
2026/03/21 09:28:00 ARKUSDT Stoch RSI(1h,7)=76.23
2026/03/21 09:28:01 ARPAUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:28:01 ARUSDT Stoch RSI(1h,7)=51.18
2026/03/21 09:28:01 ASPUSDT Stoch RSI(1h,7)=94.51
2026/03/21 09:28:02 ASRUSDT Stoch RSI(1h,7)=97.35
2026/03/21 09:28:02 ASTERPERP Stoch RSI(1h,7)=75.57
2026/03/21 09:28:03 ASTERUSDT Stoch RSI(1h,7)=63.89
2026/03/21 09:28:03 ASTRUSDT Stoch RSI(1h,7)=38.94
2026/03/21 09:28:04 ATHUSDT Stoch RSI(1h,7)=7.32
2026/03/21 09:28:04 ATOMUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:28:05 ATUSDT Stoch RSI(1h,7)=74.73
2026/03/21 09:28:05 AUCTIONUSDT Stoch RSI(1h,7)=79.67
2026/03/21 09:28:06 AUSDT Stoch RSI(1h,7)=71.82
2026/03/21 09:28:06 AVAAIUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:28:07 AVAUSDT Stoch RSI(1h,7)=62.60
2026/03/21 09:28:07 AVAXUSDT Stoch RSI(1h,7)=66.87
2026/03/21 09:28:08 AVLUSDT Stoch RSI(1h,7)=84.36
2026/03/21 09:28:08 AVNTPERP Stoch RSI(1h,7)=0.00
2026/03/21 09:28:09 AVNTUSDT Stoch RSI(1h,7)=74.03
2026/03/21 09:28:09 AWEUSDT Stoch RSI(1h,7)=51.15
2026/03/21 09:28:10 AXLUSDT Stoch RSI(1h,7)=54.68
2026/03/21 09:28:10 AXSUSDT Stoch RSI(1h,7)=36.95
2026/03/21 09:28:10 AZTECUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:28:11 B2USDT Stoch RSI(1h,7)=56.41
2026/03/21 09:28:12 B3USDT Stoch RSI(1h,7)=75.21
2026/03/21 09:28:12 BABYUSDT Stoch RSI(1h,7)=65.94
2026/03/21 09:28:13 BANANAS31USDT Stoch RSI(1h,7)=7.39
2026/03/21 09:28:14 BANANAUSDT Stoch RSI(1h,7)=64.61
2026/03/21 09:28:14 BANDUSDT Stoch RSI(1h,7)=73.31
2026/03/21 09:28:15 BANKUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:28:15 BANUSDT Stoch RSI(1h,7)=65.78
2026/03/21 09:28:16 BARDUSDT Stoch RSI(1h,7)=76.44
2026/03/21 09:28:16 BATUSDT Stoch RSI(1h,7)=68.95
2026/03/21 09:28:17 BBUSDT Stoch RSI(1h,7)=85.70
